Brand,Engine_Capacity_CC,Year_of_Manufacture,Kilometers_Driven,Fuel_Type,Usage_Type,Location,Selling_Price_KES
Bajaj Boxer,100,2024,16453,Petrol,Private,Kisumu,130000
TVS,125,2023,33491,Petrol,Commercial,Eldoret,113000
Bajaj Boxer,100,2023,36500,Petrol,Private,Nairobi,115000
Yamaha,150,2020,62794,Petrol,Commercial,Eldoret,93000
Honda,0,2025,8168,Electric,Private,Nairobi,203000
Bajaj Boxer,100,2025,15461,Petrol,Private,Eldoret,135000
Bajaj Boxer,125,2015,104712,Petrol,Private,Nakuru,57000
Bajaj Boxer,100,2024,24055,Petrol,Commercial,Nakuru,114000
Bajaj Boxer,125,2018,81379,Petrol,Commercial,Nairobi,73000
Honda,110,2015,166532,Petrol,Commercial,Thika,65000
Honda,190,2022,63058,Petrol,Private,Kisumu,120000
Yamaha,250,2015,165266,Petrol,Private,Nairobi,68000
TVS,125,2017,148272,Petrol,Commercial,Nakuru,54000
Bajaj Boxer,0,2024,22960,Electric,Commercial,Nairobi,138000
Honda,110,2022,41529,Petrol,Commercial,Eldoret,114000
Haojue,0,2023,24651,Electric,Private,Nairobi,164000
TVS,150,2024,27629,Petrol,Private,Kisumu,152000
Haojue,110,2026,3801,Petrol,Commercial,Mombasa,128000
TVS,125,2021,74326,Petrol,Commercial,Nairobi,98000
TVS,150,2022,69569,Petrol,Private,Nairobi,102000
TVS,150,2016,112923,Petrol,Private,Nairobi,63000
Bajaj Boxer,150,2024,19991,Petrol,Commercial,Nairobi,123000
Bajaj Boxer,150,2025,10292,Petrol,Commercial,Nairobi,152000
Bajaj Boxer,125,2022,52150,Petrol,Commercial,Mombasa,81000
Honda,190,2017,97582,Petrol,Commercial,Nairobi,73000
Bajaj Boxer,100,2021,66574,Petrol,Commercial,Nairobi,83000
TVS,125,2017,145910,Petrol,Commercial,Kisumu,44000
Yamaha,250,2021,69754,Petrol,Private,Nairobi,149000
Bajaj Boxer,100,2025,19147,Petrol,Commercial,Eldoret,125000
TVS,150,2026,4442,Petrol,Private,Eldoret,192000
Haojue,150,2016,92480,Petrol,Commercial,Kisumu,42000
Bajaj Boxer,100,2024,27243,Petrol,Commercial,Mombasa,106000
Bajaj Boxer,100,2020,78330,Petrol,Commercial,Eldoret,81000
Bajaj Boxer,150,2017,139719,Petrol,Commercial,Nairobi,52000
Bajaj Boxer,100,2017,164508,Petrol,Private,Nairobi,45000
Yamaha,250,2023,47588,Petrol,Private,Nairobi,206000
Haojue,110,2021,78179,Petrol,Commercial,Nakuru,67000
Honda,110,2019,94335,Petrol,Commercial,Nairobi,83000
Yamaha,150,2026,2617,Petrol,Private,Mombasa,230000
Haojue,125,2024,16168,Petrol,Commercial,Thika,108000
Bajaj Boxer,150,2021,51851,Petrol,Commercial,Eldoret,103000
Yamaha,150,2023,37520,Petrol,Private,Mombasa,169000
TVS,125,2015,92790,Petrol,Commercial,Nairobi,58000
Haojue,125,2021,49380,Petrol,Commercial,Nakuru,78000
Yamaha,125,2020,92072,Petrol,Commercial,Mombasa,123000
Bajaj Boxer,150,2024,27769,Petrol,Private,Nairobi,157000
Bajaj Boxer,150,2026,0,Petrol,Commercial,Nairobi,148000
Bajaj Boxer,100,2023,38600,Petrol,Commercial,Eldoret,106000
TVS,125,2015,158659,Petrol,Private,Kisumu,42000
Haojue,150,2018,141714,Petrol,Commercial,Nakuru,54000
Yamaha,150,2023,42884,Petrol,Private,Eldoret,170000
Bajaj Boxer,150,2018,100417,Petrol,Commercial,Mombasa,56000
TVS,150,2024,26262,Petrol,Private,Mombasa,157000
TVS,125,2017,105304,Petrol,Commercial,Nairobi,60000
Bajaj Boxer,125,2023,44559,Petrol,Commercial,Nairobi,104000
Bajaj Boxer,125,2016,136658,Petrol,Commercial,Nairobi,44000
Bajaj Boxer,100,2018,78604,Petrol,Commercial,Nakuru,63000
SkyGo,150,2020,64645,Petrol,Private,Mombasa,82000
Bajaj Boxer,125,2016,169329,Petrol,Private,Eldoret,49000
TVS,125,2022,58823,Petrol,Commercial,Nairobi,73000
Honda,125,2022,51652,Petrol,Commercial,Mombasa,108000
TVS,0,2024,18989,Electric,Private,Mombasa,156000
Ranger,200,2026,0,Petrol,Private,Mombasa,173000
SkyGo,200,2017,150241,Petrol,Commercial,Kisumu,38000
Bajaj Boxer,100,2024,28405,Petrol,Commercial,Nairobi,101000
TVS,150,2023,24600,Petrol,Commercial,Mombasa,133000
Bajaj Boxer,150,2019,120426,Petrol,Commercial,Nairobi,65000
Bajaj Boxer,125,2020,76399,Petrol,Commercial,Nairobi,74000
Bajaj Boxer,0,2024,23389,Electric,Commercial,Nairobi,155000
Honda,110,2024,20737,Petrol,Commercial,Kisumu,129000
TVS,0,2024,16113,Electric,Private,Thika,194000
Bajaj Boxer,100,2025,14545,Petrol,Commercial,Mombasa,124000
Bajaj Boxer,125,2022,43665,Petrol,Commercial,Kisumu,101000
Yamaha,250,2025,8027,Petrol,Commercial,Mombasa,238000
Bajaj Boxer,100,2020,52076,Petrol,Commercial,Mombasa,90000
Bajaj Boxer,100,2019,114225,Petrol,Commercial,Nairobi,55000
TVS,150,2023,35807,Petrol,Commercial,Nairobi,114000
Ranger,200,2015,120317,Petrol,Commercial,Nairobi,59000
Bajaj Boxer,100,2019,54893,Petrol,Commercial,Nairobi,77000
Honda,190,2020,75794,Petrol,Commercial,Nairobi,110000
Haojue,150,2019,116304,Petrol,Commercial,Nairobi,50000
Bajaj Boxer,100,2020,88308,Petrol,Private,Nairobi,92000
Honda,110,2020,56084,Petrol,Commercial,Thika,81000
TVS,150,2021,87743,Petrol,Private,Nairobi,101000
Honda,125,2018,135946,Petrol,Commercial,Nairobi,62000
Honda,190,2025,6786,Petrol,Commercial,Nairobi,164000
TVS,125,2022,54380,Petrol,Commercial,Mombasa,86000
Bajaj Boxer,100,2021,61256,Petrol,Commercial,Nairobi,68000
Haojue,125,2023,48047,Petrol,Private,Nairobi,106000
Bajaj Boxer,150,2021,77451,Petrol,Private,Mombasa,86000
Bajaj Boxer,150,2017,100370,Petrol,Private,Nairobi,58000
Bajaj Boxer,125,2017,156447,Petrol,Commercial,Nairobi,48000
TVS,150,2022,56196,Petrol,Commercial,Nairobi,79000
Honda,0,2025,10453,Electric,Commercial,Nairobi,176000
Bajaj Boxer,150,2018,98240,Petrol,Commercial,Nairobi,44000
TVS,150,2022,36365,Petrol,Commercial,Nairobi,108000
Bajaj Boxer,150,2020,96435,Petrol,Commercial,Nakuru,78000
Honda,110,2016,139815,Petrol,Commercial,Mombasa,57000
Bajaj Boxer,100,2018,101936,Petrol,Commercial,Mombasa,58000
Honda,0,2023,34708,Electric,Private,Nairobi,173000
TVS,150,2025,13805,Petrol,Private,Thika,167000
SkyGo,200,2018,103008,Petrol,Private,Nairobi,78000
Bajaj Boxer,125,2020,97221,Petrol,Commercial,Nairobi,67000
Bajaj Boxer,100,2020,63098,Petrol,Commercial,Mombasa,76000
Bajaj Boxer,150,2015,136661,Petrol,Commercial,Nairobi,61000
Yamaha,125,2022,73106,Petrol,Private,Nairobi,136000
Yamaha,250,2020,94080,Petrol,Commercial,Mombasa,124000
Bajaj Boxer,100,2017,143592,Petrol,Commercial,Eldoret,56000
Honda,190,2023,47910,Petrol,Private,Nairobi,143000
Haojue,110,2016,169324,Petrol,Commercial,Kisumu,35000
TVS,150,2025,11663,Petrol,Commercial,Thika,149000
TVS,150,2022,32561,Petrol,Commercial,Nairobi,119000
Bajaj Boxer,100,2024,19274,Petrol,Commercial,Nairobi,104000
Bajaj Boxer,150,2017,103401,Petrol,Commercial,Nairobi,66000
Yamaha,125,2026,2214,Petrol,Commercial,Nairobi,211000
Yamaha,125,2019,58818,Petrol,Commercial,Nairobi,74000
Honda,110,2020,64266,Petrol,Commercial,Eldoret,77000
Bajaj Boxer,125,2024,28780,Petrol,Private,Kisumu,131000
Bajaj Boxer,100,2020,104558,Petrol,Commercial,Mombasa,66000
Honda,125,2018,132458,Petrol,Commercial,Nairobi,57000
Yamaha,150,2017,118171,Petrol,Commercial,Nakuru,68000
Yamaha,125,2018,70811,Petrol,Private,Thika,121000
Haojue,110,2015,105643,Petrol,Commercial,Nakuru,40000
Honda,110,2018,70960,Petrol,Commercial,Nairobi,66000
Bajaj Boxer,150,2015,174569,Petrol,Private,Mombasa,48000
Bajaj Boxer,100,2026,16,Petrol,Private,Nairobi,164000
Yamaha,150,2015,168238,Petrol,Commercial,Nairobi,59000
Honda,110,2024,40114,Petrol,Private,Nairobi,140000
Bajaj Boxer,150,2020,57899,Petrol,Commercial,Mombasa,80000
Bajaj Boxer,100,2019,103011,Petrol,Commercial,Kisumu,57000
Honda,190,2025,12503,Petrol,Commercial,Nairobi,165000
Bajaj Boxer,150,2018,96071,Petrol,Commercial,Nairobi,69000
Bajaj Boxer,100,2025,20333,Petrol,Private,Nairobi,132000
TVS,0,2023,19268,Electric,Commercial,Nairobi,144000
Honda,190,2015,185893,Petrol,Commercial,Nairobi,65000
Honda,110,2020,78641,Petrol,Private,Nairobi,97000
Bajaj Boxer,100,2016,170477,Petrol,Private,Nakuru,44000
Honda,125,2022,38746,Petrol,Commercial,Nairobi,99000
Bajaj Boxer,150,2024,18081,Petrol,Commercial,Nairobi,144000
Bajaj Boxer,150,2019,98211,Petrol,Commercial,Nairobi,61000
Honda,0,2023,22175,Electric,Private,Thika,165000
Honda,110,2024,26936,Petrol,Commercial,Kisumu,136000
Haojue,125,2026,0,Petrol,Private,Kisumu,148000
Honda,125,2016,98094,Petrol,Commercial,Nairobi,57000
TVS,125,2022,55058,Petrol,Commercial,Mombasa,82000
Bajaj Boxer,150,2016,110948,Petrol,Commercial,Nairobi,57000
TVS,125,2018,97026,Petrol,Commercial,Mombasa,70000
Bajaj Boxer,150,2015,114954,Petrol,Commercial,Eldoret,40000
Bajaj Boxer,125,2019,94606,Petrol,Private,Mombasa,75000
Ranger,200,2023,48859,Petrol,Commercial,Eldoret,108000
TVS,150,2015,147211,Petrol,Commercial,Kisumu,53000
Yamaha,150,2023,33663,Petrol,Private,Nairobi,174000
Honda,110,2025,16507,Petrol,Commercial,Eldoret,130000
Haojue,125,2022,45395,Petrol,Private,Nairobi,93000
TVS,150,2020,105419,Petrol,Commercial,Mombasa,80000
TVS,150,2021,41813,Petrol,Commercial,Nairobi,107000
TVS,150,2017,157074,Petrol,Commercial,Nairobi,48000
Bajaj Boxer,125,2015,112713,Petrol,Commercial,Nairobi,66000
Honda,125,2019,83808,Petrol,Private,Nairobi,70000
Bajaj Boxer,100,2026,352,Petrol,Commercial,Nairobi,137000
Bajaj Boxer,100,2026,0,Petrol,Commercial,Mombasa,141000
Honda,190,2016,83092,Petrol,Commercial,Nairobi,68000
Bajaj Boxer,125,2019,122143,Petrol,Commercial,Nairobi,53000
SkyGo,150,2022,35167,Petrol,Private,Mombasa,103000
SkyGo,150,2025,6152,Petrol,Commercial,Nairobi,124000
Yamaha,0,2023,15176,Electric,Commercial,Kisumu,142000
TVS,125,2016,174163,Petrol,Private,Kisumu,54000
Bajaj Boxer,100,2026,0,Petrol,Commercial,Nakuru,139000
Yamaha,125,2017,145486,Petrol,Private,Kisumu,59000
TVS,150,2017,126530,Petrol,Commercial,Nairobi,52000
SkyGo,200,2015,169606,Petrol,Commercial,Kisumu,42000
SkyGo,150,2022,38220,Petrol,Commercial,Nairobi,89000
Yamaha,0,2023,22622,Electric,Private,Nairobi,157000
Bajaj Boxer,125,2026,43,Petrol,Private,Nakuru,175000
TVS,125,2022,41838,Petrol,Commercial,Nairobi,96000
Yamaha,125,2025,20318,Petrol,Commercial,Nakuru,179000
Bajaj Boxer,125,2023,52084,Petrol,Commercial,Nakuru,109000
Bajaj Boxer,125,2019,83199,Petrol,Commercial,Eldoret,69000
TVS,125,2026,1540,Petrol,Commercial,Eldoret,144000
SkyGo,200,2017,70684,Petrol,Private,Nairobi,61000
Honda,110,2019,117390,Petrol,Commercial,Nairobi,77000
TVS,125,2019,65713,Petrol,Commercial,Mombasa,87000
Bajaj Boxer,100,2019,66916,Petrol,Commercial,Nairobi,78000
Honda,0,2026,0,Electric,Commercial,Mombasa,189000
Ranger,200,2025,9674,Petrol,Commercial,Kisumu,129000
Bajaj Boxer,125,2024,17092,Petrol,Commercial,Kisumu,123000
TVS,150,2018,114747,Petrol,Private,Nairobi,88000
Yamaha,0,2023,21856,Electric,Commercial,Nairobi,145000
Honda,0,2025,11589,Electric,Commercial,Nairobi,165000
Honda,110,2023,31774,Petrol,Commercial,Nairobi,124000
Honda,190,2016,114544,Petrol,Private,Eldoret,59000
TVS,150,2022,35554,Petrol,Private,Nairobi,116000
Bajaj Boxer,100,2022,55795,Petrol,Commercial,Nairobi,81000
Haojue,125,2021,54657,Petrol,Private,Nairobi,91000
Haojue,110,2022,54289,Petrol,Commercial,Mombasa,86000
Yamaha,150,2017,81632,Petrol,Commercial,Mombasa,83000
Yamaha,250,2020,68436,Petrol,Commercial,Nairobi,117000
TVS,125,2015,187603,Petrol,Commercial,Nairobi,40000
TVS,125,2021,43883,Petrol,Commercial,Nairobi,89000
Haojue,110,2015,153721,Petrol,Private,Nairobi,35000
Honda,125,2023,46061,Petrol,Private,Kisumu,136000
Honda,190,2015,149678,Petrol,Commercial,Mombasa,46000
Haojue,110,2015,123131,Petrol,Commercial,Nairobi,35000
Yamaha,150,2021,40854,Petrol,Commercial,Nairobi,113000
Bajaj Boxer,0,2024,20199,Electric,Commercial,Thika,134000
TVS,125,2019,117781,Petrol,Commercial,Nairobi,68000
Bajaj Boxer,100,2022,70931,Petrol,Commercial,Kisumu,88000
TVS,125,2022,54080,Petrol,Commercial,Nairobi,99000
Bajaj Boxer,100,2017,70477,Petrol,Private,Nairobi,70000
TVS,150,2021,62898,Petrol,Commercial,Nairobi,105000
TVS,125,2017,148062,Petrol,Commercial,Mombasa,47000
Bajaj Boxer,150,2020,76467,Petrol,Private,Thika,96000
TVS,125,2020,59691,Petrol,Commercial,Nairobi,69000
Bajaj Boxer,0,2026,1835,Electric,Commercial,Nairobi,200000
Bajaj Boxer,100,2021,71020,Petrol,Commercial,Nairobi,70000
Haojue,150,2017,89584,Petrol,Commercial,Nairobi,50000
TVS,0,2024,20976,Electric,Private,Nairobi,164000
Bajaj Boxer,100,2024,15188,Petrol,Commercial,Nairobi,104000
TVS,125,2018,143875,Petrol,Commercial,Nakuru,57000
Haojue,150,2015,123078,Petrol,Private,Nairobi,50000
Bajaj Boxer,100,2018,131984,Petrol,Private,Nairobi,59000
Honda,125,2021,88652,Petrol,Private,Eldoret,87000
Bajaj Boxer,150,2025,17079,Petrol,Commercial,Nairobi,159000
Bajaj Boxer,100,2018,65376,Petrol,Commercial,Thika,68000
TVS,125,2020,61426,Petrol,Private,Nairobi,116000
TVS,125,2023,43416,Petrol,Private,Eldoret,116000
Honda,110,2015,124928,Petrol,Commercial,Mombasa,58000
Honda,110,2019,53332,Petrol,Commercial,Nakuru,89000
Ranger,200,2025,6146,Petrol,Commercial,Thika,139000
TVS,150,2021,89009,Petrol,Private,Nairobi,112000
Bajaj Boxer,0,2023,25871,Electric,Commercial,Thika,133000
Haojue,110,2018,133146,Petrol,Commercial,Nairobi,46000
Bajaj Boxer,100,2020,48729,Petrol,Commercial,Nairobi,50000
TVS,150,2016,102477,Petrol,Commercial,Nairobi,61000
Bajaj Boxer,100,2024,26919,Petrol,Private,Mombasa,117000
Bajaj Boxer,0,2023,26080,Electric,Commercial,Nairobi,131000
SkyGo,150,2025,12294,Petrol,Private,Mombasa,127000
Haojue,150,2024,34199,Petrol,Private,Mombasa,122000
Honda,110,2015,193731,Petrol,Commercial,Nakuru,46000
TVS,125,2020,58038,Petrol,Commercial,Nakuru,83000
Bajaj Boxer,125,2020,45141,Petrol,Commercial,Nairobi,89000
Bajaj Boxer,100,2018,67769,Petrol,Private,Nairobi,81000
Bajaj Boxer,100,2022,31090,Petrol,Commercial,Nairobi,92000
TVS,150,2018,122256,Petrol,Commercial,Nairobi,59000
Honda,125,2022,62577,Petrol,Private,Nairobi,127000
Honda,190,2022,57276,Petrol,Commercial,Nairobi,132000
Bajaj Boxer,150,2019,63500,Petrol,Private,Nairobi,94000
SkyGo,0,2023,35535,Electric,Commercial,Thika,124000
Honda,125,2026,0,Petrol,Commercial,Mombasa,173000
TVS,0,2023,27839,Electric,Commercial,Nairobi,138000
Honda,125,2025,11285,Petrol,Private,Mombasa,181000
TVS,150,2017,107042,Petrol,Commercial,Nairobi,56000
Bajaj Boxer,150,2017,77593,Petrol,Private,Nairobi,57000
TVS,125,2018,129944,Petrol,Private,Mombasa,73000
Haojue,125,2018,142138,Petrol,Commercial,Nairobi,35000
Bajaj Boxer,100,2024,29550,Petrol,Private,Nairobi,121000
Bajaj Boxer,125,2025,12446,Petrol,Commercial,Thika,126000
Bajaj Boxer,100,2025,10163,Petrol,Commercial,Eldoret,119000
Bajaj Boxer,125,2019,59763,Petrol,Commercial,Mombasa,68000
Yamaha,150,2018,137339,Petrol,Private,Mombasa,104000
Honda,190,2025,13128,Petrol,Commercial,Mombasa,180000
TVS,125,2024,19205,Petrol,Commercial,Nairobi,124000
Bajaj Boxer,100,2022,38551,Petrol,Commercial,Nairobi,103000
TVS,150,2020,91843,Petrol,Commercial,Nairobi,71000
TVS,0,2023,22965,Electric,Commercial,Nairobi,126000
Bajaj Boxer,150,2022,68350,Petrol,Private,Mombasa,118000
TVS,125,2021,87037,Petrol,Private,Nairobi,99000
TVS,0,2023,35017,Electric,Commercial,Thika,129000
Honda,110,2025,13862,Petrol,Private,Eldoret,154000
Honda,110,2026,1895,Petrol,Commercial,Kisumu,176000
Bajaj Boxer,125,2024,29787,Petrol,Private,Mombasa,120000
TVS,150,2022,52909,Petrol,Commercial,Eldoret,99000
Honda,190,2016,83388,Petrol,Commercial,Nairobi,72000
